target_id,px,py,pz,nx,ny,nz
main_truss_0000,40.0,0.0,0.0,1.0,0.0,0.0
main_truss_0001,-40.0,0.0,0.0,-1.0,0.0,0.0
main_truss_0002,-40.0,2.0,0.0,0.0,1.0,0.0
main_truss_0003,-24.0,2.0,0.0,0.0,1.0,0.0
main_truss_0004,-8.0,2.0,0.0,0.0,1.0,0.0
main_truss_0005,8.0,2.0,0.0,0.0,1.0,0.0
main_truss_0006,24.0,2.0,0.0,0.0,1.0,0.0
main_truss_0007,40.0,2.0,0.0,0.0,1.0,0.0
main_truss_0008,-40.0,-2.0,0.0,0.0,-1.0,0.0
main_truss_0009,-24.0,-2.0,0.0,0.0,-1.0,0.0
main_truss_0010,-8.0,-2.0,0.0,0.0,-1.0,0.0
main_truss_0011,8.0,-2.0,0.0,0.0,-1.0,0.0
main_truss_0012,24.0,-2.0,0.0,0.0,-1.0,0.0
main_truss_0013,40.0,-2.0,0.0,0.0,-1.0,0.0
main_truss_0014,-40.0,0.0,2.0,0.0,0.0,1.0
main_truss_0015,-24.0,0.0,2.0,0.0,0.0,1.0
main_truss_0016,-8.0,0.0,2.0,0.0,0.0,1.0
main_truss_0017,8.0,0.0,2.0,0.0,0.0,1.0
main_truss_0018,24.0,0.0,2.0,0.0,0.0,1.0
main_truss_0019,40.0,0.0,2.0,0.0,0.0,1.0
main_truss_0020,-40.0,0.0,-2.0,0.0,0.0,-1.0
main_truss_0021,-24.0,0.0,-2.0,0.0,0.0,-1.0
main_truss_0022,-8.0,0.0,-2.0,0.0,0.0,-1.0
main_truss_0023,8.0,0.0,-2.0,0.0,0.0,-1.0
main_truss_0024,24.0,0.0,-2.0,0.0,0.0,-1.0
main_truss_0025,40.0,0.0,-2.0,0.0,0.0,-1.0
left_array_0026,-10.0,0.0,12.0,1.0,0.0,0.0
left_array_0027,-40.0,0.0,12.0,-1.0,0.0,0.0
left_array_0028,-40.0,0.5,12.0,0.0,1.0,0.0
left_array_0029,-10.0,0.5,12.0,0.0,1.0,0.0
left_array_0030,-40.0,-0.5,12.0,0.0,-1.0,0.0
left_array_0031,-10.0,-0.5,12.0,0.0,-1.0,0.0
left_array_0032,-40.0,0.0,18.0,0.0,0.0,1.0
left_array_0033,-10.0,0.0,18.0,0.0,0.0,1.0
left_array_0034,-40.0,0.0,6.0,0.0,0.0,-1.0
left_array_0035,-10.0,0.0,6.0,0.0,0.0,-1.0
right_array_0036,40.0,0.0,12.0,1.0,0.0,0.0
right_array_0037,10.0,0.0,12.0,-1.0,0.0,0.0
right_array_0038,10.0,0.5,12.0,0.0,1.0,0.0
right_array_0039,40.0,0.5,12.0,0.0,1.0,0.0
right_array_0040,10.0,-0.5,12.0,0.0,-1.0,0.0
right_array_0041,40.0,-0.5,12.0,0.0,-1.0,0.0
right_array_0042,10.0,0.0,18.0,0.0,0.0,1.0
right_array_0043,40.0,0.0,18.0,0.0,0.0,1.0
right_array_0044,10.0,0.0,6.0,0.0,0.0,-1.0
right_array_0045,40.0,0.0,6.0,0.0,0.0,-1.0
module_1_0046,0.0,11.0,0.0,0.0,1.0,0.0
module_1_0047,0.0,10.121320343559642,2.1213203435596424,0.0,0.7071067811865476,0.7071067811865475
module_1_0048,0.0,8.0,3.0,0.0,6.123233995736766e-17,1.0
module_1_0049,0.0,5.878679656440358,2.121320343559643,0.0,-0.7071067811865475,0.7071067811865476
module_1_0050,0.0,5.0,3.6739403974420594e-16,0.0,-1.0,1.2246467991473532e-16
module_1_0051,0.0,5.878679656440357,-2.1213203435596424,0.0,-0.7071067811865477,-0.7071067811865475
module_1_0052,0.0,7.999999999999999,-3.0,0.0,-1.8369701987210297e-16,-1.0
module_1_0053,0.0,10.121320343559642,-2.121320343559643,0.0,0.7071067811865474,-0.7071067811865477
module_2_0054,0.0,-5.0,0.0,0.0,1.0,0.0
module_2_0055,0.0,-5.878679656440357,2.1213203435596424,0.0,0.7071067811865476,0.7071067811865475
module_2_0056,0.0,-8.0,3.0,0.0,6.123233995736766e-17,1.0
module_2_0057,0.0,-10.121320343559642,2.121320343559643,0.0,-0.7071067811865475,0.7071067811865476
module_2_0058,0.0,-11.0,3.6739403974420594e-16,0.0,-1.0,1.2246467991473532e-16
module_2_0059,0.0,-10.121320343559642,-2.1213203435596424,0.0,-0.7071067811865477,-0.7071067811865475
module_2_0060,0.0,-8.0,-3.0,0.0,-1.8369701987210297e-16,-1.0
module_2_0061,0.0,-5.878679656440358,-2.121320343559643,0.0,0.7071067811865474,-0.7071067811865477
docking_node_0062,2.0,0.0,-6.0,1.0,0.0,0.0
docking_node_0063,1.4142135623730951,1.414213562373095,-6.0,0.7071067811865476,0.7071067811865475,0.0
docking_node_0064,1.2246467991473532e-16,2.0,-6.0,6.123233995736766e-17,1.0,0.0
docking_node_0065,-1.414213562373095,1.4142135623730951,-6.0,-0.7071067811865475,0.7071067811865476,0.0
docking_node_0066,-2.0,2.4492935982947064e-16,-6.0,-1.0,1.2246467991473532e-16,0.0
docking_node_0067,-1.4142135623730954,-1.414213562373095,-6.0,-0.7071067811865477,-0.7071067811865475,0.0
docking_node_0068,-3.6739403974420594e-16,-2.0,-6.0,-1.8369701987210297e-16,-1.0,0.0
docking_node_0069,1.4142135623730947,-1.4142135623730954,-6.0,0.7071067811865474,-0.7071067811865477,0.0
